Request_Number,Connect_Time(s),TLS_Handshake(s),Total_Time(s),Elapsed_Time(s),Status,Success_Count,Bytes_Sent(B),Bytes_Received(B),KEM,Signature,Cert_Size(B)
154,0.022972,0.997301,1.01572,1.4734549522399902,Success,1/500,1282,21302,x25519_mlkem512,dilithium5,14953
145,0.354673,1.530301,1.57298,1.5546534061431885,Success,2/500,1282,21308,x25519_mlkem512,dilithium5,14953
16,0.00586,0.547602,0.562286,0.0009033679962158203,Success,3/500,1282,21308,x25519_mlkem512,dilithium5,14953
328,0.013215,0.577342,0.665242,0.030573129653930664,Success,4/500,1282,21308,x25519_mlkem512,dilithium5,14953
121,0.107896,0.91354,1.23175,1.5718579292297363,Success,5/500,1282,21308,x25519_mlkem512,dilithium5,14953
112,0.378059,1.310228,1.353926,1.5710961818695068,Success,6/500,1282,21308,x25519_mlkem512,dilithium5,14953
345,0.023901,1.233131,1.237954,0.5749382972717285,Success,7/500,1282,21308,x25519_mlkem512,dilithium5,14953
103,0.266754,0.924006,1.051776,1.5744116306304932,Success,8/500,1282,21308,x25519_mlkem512,dilithium5,14953
94,0.116965,1.225412,1.64584,1.561230182647705,Success,9/500,1282,21308,x25519_mlkem512,dilithium5,14953
325,0.008917,0.892592,0.953923,1.4633312225341797,Success,10/500,1282,21308,x25519_mlkem512,dilithium5,14953
316,0.129605,0.937375,1.109604,1.4676704406738281,Success,11/500,1282,21308,x25519_mlkem512,dilithium5,14953
243,0.113985,0.896555,1.058156,0.900287389755249,Success,12/500,1282,21308,x25519_mlkem512,dilithium5,14953
298,0.026439,1.041796,1.23082,1.4669041633605957,Success,13/500,1282,21308,x25519_mlkem512,dilithium5,14953
225,0.025733,0.37539,0.52209,0.2483994960784912,Success,14/500,1282,21302,x25519_mlkem512,dilithium5,14953
280,0.035082,0.809145,1.086792,1.4221415519714355,Success,15/500,1282,21308,x25519_mlkem512,dilithium5,14953
216,0.066049,1.028888,1.080014,1.5256342887878418,Success,16/500,1282,21308,x25519_mlkem512,dilithium5,14953
370,0.068373,0.702661,0.70661,1.9048056602478027,Success,17/500,1282,21302,x25519_mlkem512,dilithium5,14953
207,0.064065,1.399554,1.459176,1.5365724563598633,Success,18/500,1282,21308,x25519_mlkem512,dilithium5,14953
262,0.057294,1.495366,1.543101,1.7909877300262451,Success,19/500,1282,21308,x25519_mlkem512,dilithium5,14953
189,0.83813,2.234534,2.249127,1.8484163284301758,Success,20/500,1282,21302,x25519_mlkem512,dilithium5,14953
180,0.236264,1.441942,1.591633,1.8510479927062988,Success,21/500,1282,21308,x25519_mlkem512,dilithium5,14953
40,0.763608,2.272455,2.540625,1.5916392803192139,Success,22/500,1282,21308,x25519_mlkem512,dilithium5,14953
247,0.008329,0.581035,0.589818,0.0036911964416503906,Success,23/500,1282,21308,x25519_mlkem512,dilithium5,14953
31,0.015189,1.02251,1.219252,1.5853240489959717,Success,24/500,1282,21308,x25519_mlkem512,dilithium5,14953
26,0.003145,0.543578,0.551596,0.04029250144958496,Success,25/500,1282,21308,x25519_mlkem512,dilithium5,14953
162,0.093026,1.005449,1.270731,1.5458049774169922,Success,26/500,1282,21308,x25519_mlkem512,dilithium5,14953
8,0.005709,0.595905,0.647393,0.01689887046813965,Success,27/500,1282,21308,x25519_mlkem512,dilithium5,14953
253,0.005231,0.824515,0.979139,0.9443917274475098,Success,28/500,1282,21302,x25519_mlkem512,dilithium5,14953
144,0.00675,0.610426,0.64604,0.1085200309753418,Success,29/500,1282,21308,x25519_mlkem512,dilithium5,14953
129,0.014245,1.136348,1.225886,1.5695254802703857,Success,30/500,1282,21308,x25519_mlkem512,dilithium5,14953
102,0.076865,0.803221,0.824384,1.5677671432495117,Success,31/500,1282,21302,x25519_mlkem512,dilithium5,14953
93,0.026002,0.848833,1.119866,1.575451135635376,Success,32/500,1282,21308,x25519_mlkem512,dilithium5,14953
13,0.006056,0.582375,0.598523,0.0007467269897460938,Success,33/500,1282,21308,x25519_mlkem512,dilithium5,14953
